COXORB Performance Data   14:15  21/10/2018 
Distance,Elapsed Time,Stroke Count,Rate,Check,Speed (mm:ss/500m),Speed (m/s),Distance/Stroke 
00000,0:00:00.0,00001,034.4,057,01:39,05.04,08.62
00025,0:00:05.0,00003,034.5,062,01:37,05.16,08.76
00050,0:00:09.8,00006,033.9,061,01:39,05.05,08.88
00075,0:00:14.6,00009,034.3,062,01:36,05.23,09.02
00100,0:00:19.6,00012,033.3,058,01:40,05.01,09.08
00125,0:00:24.6,00014,033.3,054,01:41,04.97,09.00
00150,0:00:29.4,00017,033.3,053,01:37,05.13,09.18
00175,0:00:34.4,00020,032.9,054,01:40,05.00,09.16
00200,0:00:39.4,00023,033.4,054,01:39,05.05,09.01
00225,0:00:45.6,00026,033.1,053,01:57,04.26,08.27
00250,0:00:51.8,00029,033.3,052,02:17,03.66,06.69
00275,0:00:57.6,00033,033.1,053,01:55,04.33,07.75
00300,0:01:02.6,00035,033.2,055,01:47,04.69,08.16
00325,0:01:07.6,00038,033.3,055,01:40,05.02,08.89
00350,0:01:12.6,00041,033.2,056,01:40,05.01,09.09
00375,0:01:17.6,00044,032.8,054,01:41,04.96,09.06
00400,0:01:22.6,00047,032.9,052,01:40,04.99,09.14
00425,0:01:27.8,00049,032.5,050,01:43,04.87,09.09
00450,0:01:33.0,00052,032.3,051,01:45,04.78,08.93
00475,0:01:38.2,00055,032.0,052,01:44,04.83,09.03
00500,0:01:43.2,00058,032.8,052,01:41,04.95,08.98
00525,0:01:48.2,00060,032.4,050,01:39,05.05,09.26
00550,0:01:53.2,00063,032.3,048,01:43,04.84,09.02
00575,0:01:58.4,00066,032.2,049,01:42,04.90,09.02
00600,0:02:03.4,00069,032.3,054,01:40,04.99,09.17
00625,0:02:08.4,00071,032.3,051,01:40,05.00,09.23
00650,0:02:13.6,00074,032.0,049,01:43,04.84,09.10
00675,0:02:19.0,00077,031.8,050,01:46,04.70,08.90
00700,0:02:24.4,00080,031.8,049,01:50,04.55,08.65
00725,0:02:30.0,00083,031.8,050,01:50,04.53,08.57
00750,0:02:35.4,00086,031.6,051,01:50,04.53,08.61
00775,0:02:41.2,00089,031.5,053,01:55,04.33,08.26
00800,0:02:47.2,00092,031.4,048,01:59,04.21,08.07
00825,0:02:52.8,00095,031.8,049,01:55,04.36,08.10
00850,0:02:58.6,00098,031.5,051,01:54,04.37,08.22
00875,0:03:04.0,00101,031.6,049,01:51,04.50,08.50
00900,0:03:10.0,00104,031.7,048,01:58,04.24,08.12
00925,0:03:15.8,00107,031.3,049,01:57,04.26,08.11
00950,0:03:21.4,00110,031.5,050,01:54,04.37,08.20
00975,0:03:27.2,00113,031.3,049,01:55,04.36,08.32
01000,0:03:33.0,00116,032.2,048,01:55,04.36,08.13
01025,0:03:38.6,00119,032.3,051,01:52,04.46,08.21
01050,0:03:44.2,00122,031.6,050,01:55,04.35,08.29
01075,0:03:49.8,00125,032.0,049,01:51,04.50,08.30
01100,0:03:55.2,00128,032.1,050,01:49,04.60,08.49
01125,0:04:00.6,00131,032.0,050,01:49,04.57,08.55
01150,0:04:06.2,00134,031.9,050,01:52,04.48,08.45
01175,0:04:11.8,00137,032.5,048,01:52,04.45,08.21
01200,0:04:17.0,00140,032.6,049,01:45,04.76,08.58
01225,0:04:22.0,00142,032.5,050,01:42,04.88,08.86
01250,0:04:27.2,00145,033.2,053,01:42,04.92,08.90
01275,0:04:33.0,00148,032.0,051,01:52,04.46,08.49
01300,0:04:38.4,00151,032.2,048,01:51,04.52,08.36
01325,0:04:44.0,00154,032.1,049,01:50,04.54,08.52
01350,0:04:49.4,00157,032.5,050,01:51,04.51,08.30
01375,0:04:55.0,00160,032.1,048,01:51,04.52,08.46
01400,0:05:00.4,00163,032.4,051,01:50,04.55,08.29
01425,0:05:06.2,00166,031.9,052,01:54,04.40,08.36
01450,0:05:12.9,00170,031.0,051,02:18,03.62,07.21
01475,0:05:19.4,00173,031.4,046,02:10,03.85,07.17
01500,0:05:25.2,00176,032.4,045,01:58,04.25,07.65
01525,0:05:30.8,00179,032.9,048,01:51,04.49,08.06
01550,0:05:36.2,00182,032.6,048,01:50,04.55,08.28
01575,0:05:41.8,00185,032.5,048,01:52,04.47,08.23
01600,0:05:47.0,00188,032.9,051,01:46,04.70,08.43
01625,0:05:52.4,00191,032.8,052,01:47,04.68,08.50
01650,0:05:57.8,00194,032.5,051,01:49,04.57,08.45
01675,0:06:03.2,00197,033.3,052,01:49,04.59,08.22
01700,0:06:08.4,00200,033.5,054,01:45,04.78,08.49
01725,0:06:13.8,00203,033.3,052,01:49,04.60,08.31
01750,0:06:19.4,00206,032.9,050,01:49,04.60,08.37
01775,0:06:24.9,00209,032.0,049,01:54,04.39,08.25
01800,0:06:31.2,00212,032.2,052,02:00,04.18,07.90
01825,0:06:36.7,00216,032.9,051,01:55,04.36,07.77
01850,0:06:42.4,00219,032.8,051,01:51,04.49,08.17
01875,0:06:48.0,00222,032.1,052,01:51,04.50,08.31
01900,0:06:53.6,00225,032.6,051,01:52,04.46,08.30
01925,0:06:59.4,00228,032.6,051,01:57,04.26,07.90
01950,0:07:05.4,00231,032.3,049,01:59,04.19,07.78
01975,0:07:11.2,00234,032.5,050,01:56,04.30,07.82
02000,0:07:16.8,00237,032.4,051,01:55,04.34,07.98
02025,0:07:22.6,00240,032.6,050,01:54,04.38,07.97
02050,0:07:28.2,00243,031.9,051,01:52,04.47,08.34
02075,0:07:33.8,00246,032.1,049,01:55,04.36,08.20
02100,0:07:39.8,00250,031.9,045,02:01,04.14,07.91
02125,0:07:45.6,00253,032.6,048,01:57,04.28,07.78
02150,0:07:51.0,00256,033.0,051,01:47,04.68,08.28
02175,0:07:56.2,00259,033.6,051,01:46,04.71,08.38
02200,0:08:01.4,00262,033.7,053,01:42,04.92,08.66
02225,0:08:06.6,00264,033.3,054,01:49,04.59,08.45
02250,0:08:11.7,00267,033.6,057,01:41,04.96,08.64
02275,0:08:17.2,00270,033.8,053,01:48,04.65,08.45
02300,0:08:22.7,00274,032.9,049,01:52,04.45,08.12
02325,0:08:28.6,00277,032.6,050,01:57,04.27,07.89
02350,0:08:34.4,00280,032.9,053,01:53,04.42,07.93
02375,0:08:39.6,00283,033.3,054,01:47,04.66,08.28
02400,0:08:44.8,00286,033.7,051,01:44,04.79,08.33
02425,0:08:49.8,00289,034.0,052,01:40,04.99,08.70
02450,0:08:55.0,00291,033.6,056,01:42,04.92,08.83
02475,0:09:00.2,00294,033.9,047,01:43,04.87,08.67
02500,0:09:05.8,00298,034.4,040,01:55,04.35,07.79
02525,0:09:11.2,00301,034.1,047,01:47,04.69,08.06
02550,0:09:16.3,00304,034.2,053,01:45,04.77,08.26
02575,0:09:21.6,00307,033.8,055,01:44,04.81,08.54
02600,0:09:27.1,00310,033.5,050,01:53,04.44,08.03
02625,0:09:32.6,00313,033.0,051,01:47,04.67,08.34
02650,0:09:37.8,00316,033.3,053,01:46,04.72,08.38
02675,0:09:42.9,00319,033.3,052,01:45,04.74,08.44
02700,0:09:48.7,00322,033.0,053,01:53,04.44,08.24
02725,0:09:54.4,00325,033.6,052,01:58,04.23,07.52
02750,0:09:59.8,00328,033.4,053,01:46,04.70,08.33
02775,0:10:05.0,00331,033.4,056,01:45,04.78,08.46
02800,0:10:10.7,00334,033.2,058,01:56,04.32,08.07
02825,0:10:16.6,00337,032.6,055,01:54,04.38,08.00
02850,0:10:22.1,00340,032.5,049,01:53,04.42,08.01
02875,0:10:27.6,00343,033.0,050,01:49,04.58,08.19
02900,0:10:33.1,00346,032.8,051,01:52,04.47,08.23
02925,0:10:38.7,00349,032.8,053,01:53,04.43,08.05
02950,0:10:44.3,00352,032.7,053,01:51,04.52,08.21
02975,0:10:49.7,00355,032.9,054,01:49,04.57,08.26
03000,0:10:55.3,00358,033.1,054,01:51,04.49,08.21
03025,0:11:00.9,00362,032.7,050,01:51,04.49,08.20
03050,0:11:06.3,00364,032.5,050,01:49,04.60,08.40
03075,0:11:11.9,00368,032.7,051,01:52,04.48,08.21
03100,0:11:17.3,00371,032.6,051,01:48,04.61,08.37
03125,0:11:22.7,00373,032.8,050,01:50,04.56,08.38
03150,0:11:28.3,00377,033.0,052,01:53,04.41,08.07
03175,0:11:34.1,00380,032.6,052,01:55,04.34,07.86
03200,0:11:39.7,00383,032.7,052,01:53,04.41,08.07
03225,0:11:45.1,00386,033.3,054,01:47,04.68,08.21
03250,0:11:50.6,00389,033.4,053,01:48,04.64,08.31
03275,0:11:55.3,00392,034.0,054,01:39,05.05,08.74
03300,0:12:00.3,00394,034.0,054,01:40,04.98,08.71
03325,0:12:05.6,00397,034.1,054,01:41,04.93,08.70
03350,0:12:10.5,00400,034.2,054,01:41,04.94,08.60
03375,0:12:15.7,00403,033.9,054,01:42,04.88,08.63
03400,0:12:20.9,00406,034.0,052,01:46,04.73,08.36
03425,0:12:26.1,00409,033.9,053,01:43,04.84,08.44
03450,0:12:31.3,00412,033.9,054,01:45,04.75,08.45
03475,0:12:36.3,00415,034.8,054,01:42,04.89,08.28
03500,0:12:41.3,00418,034.8,055,01:40,04.99,08.58
03525,0:12:46.7,00421,034.3,055,01:45,04.77,08.39
03550,0:12:51.7,00424,034.7,056,01:42,04.90,08.34
03575,0:12:57.1,00427,034.5,053,01:47,04.68,08.22
03600,0:13:02.3,00430,034.8,053,01:45,04.74,08.09
03625,0:13:07.6,00433,035.1,055,01:43,04.86,08.20
03650,0:13:12.6,00436,035.3,057,01:42,04.92,08.33
03675,0:13:17.7,00439,034.8,054,01:45,04.75,08.20
03700,0:13:22.9,00442,034.8,055,01:44,04.80,08.23
03725,0:13:28.3,00445,034.4,052,01:46,04.71,08.24
03750,0:13:33.6,00448,034.2,052,01:46,04.70,08.24
03775,0:13:38.7,00451,034.4,054,01:45,04.75,08.22
03800,0:13:44.1,00454,034.7,053,01:44,04.80,08.25
03825,0:13:49.3,00457,034.2,052,01:47,04.67,08.21
03850,0:13:54.9,00461,034.4,053,01:51,04.50,07.90
03875,0:14:00.5,00464,034.2,052,01:51,04.50,07.85
03900,0:14:05.7,00467,034.7,053,01:46,04.71,07.97
03925,0:14:10.9,00470,034.4,053,01:43,04.86,08.35
03950,0:14:16.3,00473,034.5,051,01:48,04.65,08.20
03975,0:14:21.5,00476,035.0,055,01:47,04.66,07.92
04000,0:14:27.1,00479,034.2,053,01:49,04.58,08.00
04025,0:14:32.3,00482,034.5,056,01:47,04.68,08.01
04050,0:14:37.5,00485,034.3,055,01:42,04.89,08.48
04075,0:14:42.7,00488,034.6,051,01:45,04.74,08.29
04100,0:14:47.9,00491,034.2,052,01:46,04.72,08.21
04125,0:14:53.3,00494,034.0,052,01:47,04.68,08.23
04150,0:14:58.3,00497,034.6,052,01:43,04.85,08.26
04175,0:15:03.6,00500,034.2,052,01:42,04.92,08.58
04200,0:15:08.7,00503,034.4,053,01:45,04.78,08.37
04225,0:15:13.9,00506,034.3,054,01:45,04.76,08.28
04250,0:15:18.7,00509,034.6,054,01:39,05.07,08.59
04275,0:15:23.7,00512,034.8,057,01:38,05.11,08.73
04300,0:15:28.7,00515,034.9,056,01:39,05.03,08.64
04325,0:15:33.6,00517,035.1,057,01:38,05.10,08.59
04350,0:15:38.1,00520,036.0,059,01:35,05.24,08.63
04375,0:15:43.1,00523,035.8,056,01:37,05.17,08.74
04400,0:15:47.9,00526,036.4,055,01:39,05.06,08.34
04425,0:15:52.7,00529,037.1,058,01:33,05.37,08.49
04450,0:15:57.3,00532,037.1,063,01:35,05.29,08.56
04475,0:16:02.1,00535,036.6,061,01:36,05.21,08.60
04500,0:16:07.1,00538,036.4,057,01:40,04.98,08.30
04525,0:16:11.9,00541,036.2,056,01:37,05.16,08.45
04550,0:16:16.9,00544,036.4,058,01:39,05.06,08.35
04575,0:16:21.9,00547,036.3,055,01:38,05.08,08.34
04600,0:16:26.7,00550,036.6,055,01:38,05.09,08.31
04625,0:16:31.5,00553,036.4,055,01:37,05.17,08.45
04650,0:16:36.3,00556,036.8,057,01:36,05.20,08.46
04675,0:16:41.3,00559,036.3,056,01:38,05.09,08.46
