COXORB Performance Data   16:42  03/10/2018 
Distance,Elapsed Time,Stroke Count,Rate,Check,Speed (mm:ss/500m),Speed (m/s),Distance/Stroke 
00000,0:00:00.0,00001,031.0,045,01:40,05.02,09.48
00025,0:00:04.9,00003,031.1,059,01:37,05.13,09.83
00050,0:00:09.7,00005,031.2,058,01:37,05.15,09.79
00075,0:00:14.9,00008,030.9,049,01:42,04.88,09.64
00100,0:00:20.5,00011,031.3,049,01:49,04.57,08.83
00125,0:00:25.3,00014,031.1,048,01:38,05.09,09.45
00150,0:00:29.7,00016,031.0,049,01:31,05.50,10.24
00175,0:00:34.3,00018,030.8,050,01:31,05.50,10.57
00200,0:00:38.9,00021,030.8,050,01:33,05.40,10.44
00225,0:00:43.7,00023,031.1,049,01:35,05.28,10.28
00250,0:00:48.5,00026,031.1,049,01:35,05.27,10.07
00275,0:00:53.1,00028,030.9,050,01:34,05.32,10.24
00300,0:00:57.7,00030,030.8,050,01:34,05.31,10.30
00325,0:01:02.3,00033,030.9,049,01:31,05.52,10.57
00350,0:01:07.1,00035,030.9,048,01:35,05.25,10.39
00375,0:01:12.5,00038,030.7,047,01:44,04.80,09.67
00400,0:01:18.1,00041,030.6,047,01:55,04.36,08.76
00425,0:01:24.5,00044,030.4,047,02:04,04.02,08.20
00450,0:01:30.3,00047,030.6,048,02:01,04.13,07.89
00475,0:01:36.1,00050,030.4,047,01:54,04.40,08.62
00500,0:01:41.3,00052,030.3,047,01:54,04.40,08.61
00525,0:01:46.5,00055,030.4,048,01:43,04.85,09.35
00550,0:01:52.5,00058,030.1,048,01:55,04.34,08.96
00575,0:01:58.5,00061,030.1,047,01:58,04.22,08.35
00600,0:02:07.5,00066,030.7,045,03:21,02.49,05.72
00625,0:02:15.9,00070,030.9,043,02:49,02.96,05.04
00650,0:02:21.9,00073,030.3,046,02:00,04.18,07.87
00675,0:02:27.9,00076,031.1,050,01:57,04.29,08.13
00700,0:02:33.3,00079,030.7,049,01:53,04.43,08.46
00725,0:02:38.9,00082,030.3,048,01:51,04.50,08.77
00750,0:02:44.5,00085,030.5,050,01:54,04.37,08.74
00775,0:02:50.9,00088,030.6,050,02:04,04.04,08.13
00800,0:02:57.1,00091,030.7,049,02:08,03.91,07.54
00825,0:03:02.5,00094,030.6,049,01:48,04.63,08.71
00850,0:03:08.1,00097,030.2,048,01:54,04.38,08.68
